iter	Passed	Remaining
0	3	624
1	6	638
2	9	604
3	11	585
4	14	571
5	17	567
6	20	563
7	23	567
8	26	564
9	29	563
10	32	557
11	35	552
12	38	556
13	41	554
14	44	551
15	47	550
16	51	549
17	54	550
18	57	550
19	60	548
20	64	547
21	67	543
22	70	544
23	74	544
24	77	543
25	80	541
26	83	537
27	87	535
28	90	532
29	93	529
30	96	525
31	99	523
32	102	520
33	105	516
34	108	513
35	111	510
36	115	507
37	118	505
38	121	501
39	124	498
40	127	495
41	131	493
42	134	491
43	137	488
44	140	485
45	144	482
46	147	478
47	150	475
48	153	473
49	156	470
50	159	467
51	163	464
52	166	462
53	170	461
54	174	459
55	177	456
56	181	454
57	184	452
58	188	449
59	191	446
60	194	444
61	198	441
62	201	439
63	205	436
64	208	433
65	211	429
66	215	427
67	218	424
68	221	420
69	224	417
70	228	414
71	231	411
72	234	408
73	237	405
74	240	401
75	242	395
76	245	392
77	248	389
78	251	385
79	254	382
80	258	379
81	261	375
82	264	372
83	267	369
84	270	366
85	274	363
86	277	360
87	280	357
88	283	353
89	287	350
90	290	348
91	293	344
92	297	341
93	300	338
94	303	335
95	306	332
96	309	328
97	312	325
98	316	322
99	319	319
100	322	315
101	325	312
102	329	309
103	332	306
104	335	303
105	338	299
106	341	296
107	344	293
108	347	290
109	350	287
110	354	283
111	357	280
112	360	277
113	363	274
114	366	271
115	369	267
116	372	264
117	375	261
118	379	258
119	382	254
120	385	251
121	388	248
122	392	245
123	395	242
124	398	239
125	402	236
126	405	232
127	408	229
128	411	226
129	414	223
130	418	220
131	421	216
132	424	213
133	427	210
134	430	207
135	433	204
136	437	201
137	440	197
138	444	194
139	447	191
140	450	188
141	453	185
142	456	182
143	460	179
144	464	176
145	467	172
146	470	169
147	474	166
148	477	163
149	480	160
150	484	157
151	487	153
152	490	150
153	493	147
154	497	144
155	500	141
156	503	137
157	507	134
158	510	131
159	513	128
160	517	125
161	520	122
162	524	119
163	527	115
164	530	112
165	534	109
166	537	106
167	541	103
168	544	99
169	548	96
170	551	93
171	555	90
172	558	87
173	562	84
174	565	80
175	569	77
176	572	74
177	576	71
178	579	68
179	583	64
180	586	61
181	590	58
182	593	55
183	597	51
184	600	48
185	603	45
186	606	42
187	609	38
188	612	35
189	615	32
190	619	29
191	622	25
192	625	22
193	629	19
194	632	16
195	635	12
196	638	9
197	641	6
198	644	3
199	647	0
